Ecoinvent_flow,UUID
"metal working, average for aluminium product manufacturing",8c3b8032-b310-4dfe-9a9b-93fbd369142d
"aluminium alloy, AlMg3",8c3b8032-b310-4dfe-9a9b-93fbd369142d
"aluminium, wrought alloy",fef44ccb-917e-4c8d-bb35-a1898827b659
"copper, cathode",fbb039f7-f9cc-46d2-b631-313ddb125c1a
"metal working, average for copper product manufacturing",ec161f58-adae-4afc-ba38-14659925b080
"steel, low-alloyed",817c3650-4fed-4ef2-b9b6-404a198834e6
"metal working, average for steel product manufacturing",79632c4b-f876-4c89-bf27-b864b30566be
"brass",57771ae0-5e8b-47be-bb73-ba59f2bf8cc8
"aluminium, primary, cast alloy slab from continuous casting",f6161096-34e3-49c9-911e-060659b0dea1
"steel, chromium steel 18/8",c33b5236-001e-49b5-aa3d-810c0214f9ce
"metal working, average for chromium steel product manufacturing",a5fc651b-3ee2-405f-b2f0-d035c8132be1
"polycarbonate",e0d6f217-d1e3-4d5d-8b8a-b13c846d4ad6
"injection moulding",68d6dfcf-2089-4586-9bbf-ad75591105cf
"capacitor production, electrolyte type, < 2cm height",5036886d-4b0a-4c87-956d-50d85d9abaab
"capacitor production, electrolyte type, > 2cm height",5f06394c-4efd-4c65-9e82-5fd3cbebbd15
"capacitor production, film type, for through-hole mounting",1edf4d42-6315-49ab-89b8-cd8dd643f43c
"capacitor production, for surface-mounting",c924ae77-ba85-4856-bc7a-2f249809872b
"diode production, glass-, for surface-mounting",38dddb73-6677-4128-9a82-5c6668eceb29
"diode production, glass-, for through-hole mounting",0fd2627f-cd91-40c7-b168-8d7847ffb1fc
"electric connector production, peripheral type buss",9cc41404-5a63-4005-82a2-884dc147fc3f
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c
"electronic component production, active, unspecified",d1e72526-546c-48f2-a363-e1e3b1c9aebc
"electronic component, passive, unspecified",4e252b55-fb08-4447-8391-d09e8bbb0238
"epoxy resin, liquid",51c7e57a-00b7-4412-b56c-94c17b211ee7
"inductor, low value multilayer chip",736906f7-164e-4155-9fb4-894177303917
"inductor production, ring core choke type",3c3632b8-ce5b-4957-ac59-54e931ccd247
"injection moulding",68d6dfcf-2089-4586-9bbf-ad75591105cf
"insulated gate bipolar transistor production, for electric vehicle applications",4c5db6d0-a23c-4794-a259-3f63b780d853
"integrated circuit production, logic type",ad2a5d44-4e6d-430d-873b-0068ea24b9d5
"light emitting diode production",084469ca-e2a7-4951-8753-60629e461823
"mounting, surface mount technology, Pb-free solder",ca2b5076-f230-473d-9272-da1a678b4f93
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095
"resistor production, metal film type, through-hole mounting",92d9032c-7554-43a7-87b7-59ced4c2516a
"resistor production, surface-mounted",b826a1ab-8be4-41bf-80ad-a6665ec8f9b8
"resistor production, wirewound, through-hole mounting",db1c2047-0778-4de6-a5ce-2e1714278d34
"resistor, metal film type, through-hole mounting",92d9032c-7554-43a7-87b7-59ced4c2516a
"transformer production, low voltage use",0c7faf73-f5ea-4a3b-96ec-54d025cae6f4
"transistor production, surface-mounted",3422a31d-cb51-4f19-a659-28798bf18e54
"transistor production, wired, big size, through-hole mounting",b88d0305-a1db-4575-abad-16cb9214b14d
"transistor production, wired, small size, through-hole mounting",233843d2-7fda-443f-8735-547f06711c6d
"grain oriented electrical steel, 0.23 mm coil",f3186ac1-ba73-4a01-b686-834e1f279986
"wire drawing, copper",cdb7b939-f508-49ed-80f3-b39f6137fe1c
nylon 6,d16b5d3f-b5e4-45b6-9a04-23cde05220c0
polytetrafluoroethylene,53556443-eb03-5fa4-886b-bd89d3526a6c
"polyester resin, unsaturated",4bf60736-bc87-4e3d-8d34-ea8bcc46f551