"Designators","Casing","Section","Subsection","Category","Manufacturer","Part_Number","Description","number_elements","unit","Quantity_per_element","Has_datasheet_info","L_mm","W_mm","H_mm","Volume_cm3_excel","Density_min_g_cm3","Density_max_g_cm3","Metal_extra_g","mass_space_relation_m2/kg","Database","Ecoinvent_flow","Ecoinvent_unit","Direction","Comments"
"PCB",,"PCB",,,"Panel of 1","EDA-05281-V1","4Q Output Power Card [25A 100V] Printed Circuit Board (Bare)","1","m2",,"YES","225","110",,,,,,"3.08","EcoInvent","printed wiring board production, for through-hole mounting, Pb free surface","m2","Input","Bare board"
"BUSH_IN_V_M, BUSH_IN_V_P,BUSH_OUT_V_M,BUSH_OUT_V_P",,"Electromechanical","Connectors",,"WURTH","7460305","M5 Bush With Two Rows Pin-Plate","4","kg","0.004","YES",,,,,,,,,"EcoInvent","Market for copper, cathode + market for zinc, primary + metal working, average for copper product manufacturing","kg","Input","Needed to scalate de mass between Cu and Zn, if not take a connector more generic. Mass info:https://www.mouser.ch/ProductDetail/Wurth-Elektronik/7460305?qs=lykWx4dhCCFff%252BCw5NXeEQ%3D%3D&srsltid=AfmBOoq3ULSArRNTRrjQf9fcm54Ed4iUUzCHWkVAWqIphtAPpl0PQEEk"
"C1-C6",,"Passives","Capacitors","Paper","KEMET","P272HE102M300A or PME271YA4100MR30","±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2","6","kg",,"NO","13.5","3.9","7.5",,"1.3","1.4","0",,"EcoInvent","capacitor production, film type, for through-hole mounting","kg","Input","It is the most similar to Impregnated Paper"
"C7, C8, C20, C21",,"Passives","Capacitors","Paper","KEMET","P272QE103M300A or PME271YB5100MR30","±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2","6","kg",,"NO","18.5","5.2","10.5",,"1.3","1.4","0",,"EcoInvent","capacitor production, film type, for through-hole mounting","kg","Input","It is the most similar to Impregnated Paper"
"C9, C10",,"Passives","Capacitors","Paper","KEMET","P272SJ473M300A or PME271YD5470MR30","±20% 300VAC Metallized Impregnated Paper Film Capacitor, Class Y2","6","kg",,"NO","27","8","17",,"1.3","1.4","0",,"EcoInvent","capacitor production, film type, for through-hole mounting","kg","Input","It is the most similar to Impregnated Paper"
"C11, C12, C16, C17",,"Passives","Capacitors","Film","WIMA","MKP4F052207H00MSSD","±20% 250VDC/160VAC Metallized Polypropylene Film Capacitor (MKP4)","4","kg",,"NO","41.5","24","45.5",,"1.3","1.4","0",,"EcoInvent","capacitor production, film type, for through-hole mounting","kg","Input",
"C13",,"Passives","Capacitors","Film","WIMA","MKX2AW41006D00MSSD","±20% 305VAC Metallized Polypropylene RFI Capacitor Class X2 (MKP-X2)","1","kg",,"NO","31.5","13","24",,"1.3","1.4","0",,"EcoInvent","capacitor production, film type, for through-hole mounting","kg","Input",
"D1, D2","DO-35","Discrete Semiconductors","Small signal","Zener","VISHAY GENERAL SEMICONDUCTOR","BZX55C12","12V 500mW Voltage Regulator Diode","2","kg","0.000125","YES",,,,,,,,,"EcoInvent","diode production, glass-, for through-hole mounting","kg","Input",", it is THT"
"DCCTA, DCCTB",,"Modules","Sensors","Current transducer","CAEN ELS","CT-26","DC Current Transducer, 26A Primary Current O-FLUCS, CT PCB Series","2","kg","0.3","YES",,,,,,,,,"EcoInvent","electronic component production, active, unspecified","kg","Input","big aproximation: Contains a precision current transformer plus active electronics "
"DCCTA, DCCTB",,"Modules","Sensors","Current transducer","CAEN ELS","CT-26","DC Current Transducer, 26A Primary Current O-FLUCS, CT PCB Series","2","kg","0.3","YES",,,,,,,,,"EcoInvent","electronic component production, active, unspecified","kg","Input","big aproximation: Contains a precision current transformer plus active electronics "
"J3",,"Electromechanical","Connectors",,"3M","N3429-6302RB","26 Contacts - Straight .100'' x .100'' Low Profile Black Four-Wall Header (Long Roll Pin Latch/Ejectors), 3000 Series","1","kg",,"NO","52.4","8.6","27.2",,"1.3","1.5","4",,"EcoInvent","electric connector production, wire clamp","kg","Input","Calculated because there were different mass values depending on the website"
"R1-R4",,"Passives","Resistors",,"Generic","RMF_10K_1%_0.6W_50PPM_1016-630X250","±1% 0.6W ±50ppm/°C Leaded Metal Film Resistor","4","kg",,"NO",,,,"0.03093","3","4","0.003",,"EcoInvent","resistor, metal film type, through-hole mounting","kg","Input","Volume calculated from area and density, THT"
"T1,T2","TO-247-2","Discrete Semiconductors","Power","MOSFET","INFINEON","IRFP4768","250V 93A N-Channel HEXFET® Power MOSFET","2","kg","0.00542","YES",,,,,,,,,"EcoInvent","transistor production, wired, big size, through-hole mounting","kg","Input","COPY FROM CASING"
"Misc1 for DCCTA and DCCTB",,"Hardware","Mounting hardware","CERN","EDA-05281-V1_misc1",,"Epoxy Spacer, 133mm WidthS 81.5mm Length 2.0mm Height","1","kg",,"NO","133","81.5","2",,"1.15","1.19","0",,"EcoInvent","epoxy resin, liquid","kg","Input","IT IS CALCULATED BASED ON THE VOLUME AND THE DENSITY OF EPOXY, THEN IS SELECTED THE LIQUID RESINE"
"for Misc1",,"Hardware","Mounting hardware",,"BOSSARD","BN628 Art.1241397","M2 Hexagon Nut ~0,8d, ISO 4032, DIN 934, Stainless Steel A2","2","kg","0.000117","YES",,,,,,,,,"EcoInvent","market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing","kg","Input","IT IS THE COMBINATION MORE MCOMMON TO STAINLESS STEEL"
"J3 screws",,"Hardware","Mounting hardware",,"3M","3341-5","#4-24 x 5/16'' (7.94mm) Pan Head Cutting Screw, Fully Threaded, Stainless Steel","2","kg",,"NO",,,,"0.0805","7.8","7.9","0",,"EcoInvent","market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing","kg","Input","iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL"
"for Misc1",,"Hardware","Mounting hardware",,"BOSSARD","BN5687 Art.3061582 ","M2 L=6mm Hexalobular Socket Pan Head Screw, Fully Threaded, Stainless Steel A2","2","kg","0.00004","YES",,,,,,,,,"EcoInvent","market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing","kg","Input","iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL"
"for Misc1",,"Hardware","Mounting hardware",,"BOSSARD","BN670 Art.1253131","Flat Washer without Chamfer for M12 Screw, DIN 125 A, Stainless Steel A2 140 HV","2","kg","0.000035","YES",,,,,,,,,"EcoInvent","market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing","kg","Input","iS IT THE COMBINATION MORE MCOMMON TO STAINLESS STEEL"
"THT_PROCESS",,"Assembly Processes","THT",,,,"Assambly THT components in the PCB","1","m2",,"YES","225","110",,,,,,,"EcoInvent","mounting, through-hole technology, Pb-free solder","m2","Input",
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
